longitude,latitude,jumlah_kejadian
109.333730, -7.381885, 1
109.360804, -7.387364, 3
109.368803, -7.401475, 1
109.318939, -7.382655, 1
109.405989, -7.379737, 1
109.320613, -7.271718, 1
109.469842, -7.266689, 2
109.324172, -7.352547, 1
109.352424, -7.346254, 1 
109.465415, -7.376373, 1
109.344100, -7.413959, 1
109.468788, -7.319807, 3
109.391054, -7.312307, 1
109.379435, -7.385898, 1
109.347272, -7.255470, 1
109.335765, -7.362363, 1
109.367825, -7.410034, 1
109.382505, -7.377151, 2
109.322656, -7.403215, 1
109.328696, -7.313173, 1
109.388399, -7.400542, 1
109.457338, -7.440414, 1
109.298660, -7.281219, 1
109.369567, -7.466782, 1
109.429088, -7.392669, 1
109.320050, -7.372928, 1
109.438514, -7.402690, 1
109.367050, -7.351474, 1
109.333889, -7.308383, 1
